Id,Id2,Geography,total,white,black,asian,hispanic,other
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",548891,420237,53964,11802,48070,14818
310M200US37460,37460,"Panama City, FL Metro Area",188769,147268,20391,3577,9798,7735
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",92405,88477,975,501,809,1643
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",462339,332262,74423,11703,23235,20716
310M200US37900,37900,"Peoria, IL Metro Area",380241,317597,34529,7856,11766,8493
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6015336,3846543,1217887,316035,501951,132920
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4337542,2507972,209992,148473,1294146,176959
310M200US38220,38220,"Pine Bluff, AR Metro Area",97365,46970,46500,604,1885,1406
310M200US38300,38300,"Pittsburgh, PA Metro Area",2358793,2041084,190642,45834,33873,47360
310M200US38340,38340,"Pittsfield, MA Metro Area",130064,116871,3439,1791,4907,3056
310M200US38540,38540,"Pocatello, ID Metro Area",83394,71457,566,972,6160,4239
310M200US38860,38860,"Portland-South Portland, ME Metro Area",518387,482037,8823,8358,8710,10459
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2288796,1727913,62568,134812,255742,107761
310M200US38940,38940,"Port St. Lucie, FL Metro Area",433646,289953,61352,5914,67493,8934
310M200US39140,39140,"Prescott, AZ Metro Area",213689,173956,1142,1717,29702,7172
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",1604317,1257952,73277,43519,175664,53905
310M200US39340,39340,"Provo-Orem, UT Metro Area",550774,461673,2946,7452,59820,18883
310M200US39380,39380,"Pueblo, CO Metro Area",160757,85833,2755,1115,67523,3531
310M200US39460,39460,"Punta Gorda, FL Metro Area",163151,138848,9201,2000,10287,2815
310M200US39540,39540,"Racine, WI Metro Area",195039,143728,20969,2316,23487,4539
310M200US39580,39580,"Raleigh, NC Metro Area",1189579,745697,236361,56735,122025,28761
310M200US39660,39660,"Rapid City, SD Metro Area",139040,115366,1641,1361,5935,14737
310M200US39740,39740,"Reading, PA Metro Area",413016,311334,16853,5537,72707,6585
310M200US39820,39820,"Redding, CA Metro Area",178520,145485,1692,4397,15908,11038
310M200US39900,39900,"Reno, NV Metro Area",433919,283396,9289,22052,98834,20348
310M200US40060,40060,"Richmond, VA Metro Area",1234058,725118,367282,42123,67055,32480
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4345485,1529190,304105,268004,2105200,138986
310M200US40220,40220,"Roanoke, VA Metro Area",310934,248382,39937,5257,10512,6846
310M200US40340,40340,"Rochester, MN Metro Area",210004,181167,7748,8453,8299,4337
310M200US40380,40380,"Rochester, NY Metro Area",1082578,842147,117729,28764,69901,24037
310M200US40420,40420,"Rockford, IL Metro Area",346031,249582,36953,7864,44521,7111
310M200US40580,40580,"Rocky Mount, NC Metro Area",150953,70986,67424,800,8299,3444
310M200US40660,40660,"Rome, GA Metro Area",96146,69799,13942,1268,9460,1677
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2197422,1200962,151019,267447,453394,124600
310M200US40980,40980,"Saginaw, MI Metro Area",197727,138758,36008,2245,15768,4948
310M200US41060,41060,"St. Cloud, MN Metro Area",190708,172547,6317,3373,5171,3300
310M200US41100,41100,"St. George, UT Metro Area",144844,123721,659,983,14272,5209
